staff_id,staff_name,staff_name_kana,store_code,store_name,company_name,active_from,active_to,aliases
S001,原田,ゲンダ,AU1K0024101,イオンモール大日,ジオソリューションズ,2026-01-01,2099-12-31,原田和男
S002,二宮,ニノミヤ,AU1K0024104,〇〇店,ジオソリューションズ,2026-01-01,2099-12-31,ニノミヤ太郎|ニノミア
S003,西村,ニシムラ,AU1K0024104,〇〇店,ジオソリューションズ,2026-03-01,2099-12-31,西村|西村啓介
S004,竹嶋,タケシマ,AU1K0024105,△△店,ジオソリューションズ,2026-01-01,2099-12-31,竹島|たけしま
S005,富水孝幸,トミズタカユキ,AU1K0024102,●●店,ジオソリューションズ,2026-01-01,2099-12-31,富水|富水孝|とみず
S006,多田和沙,タダカズサ,AU1K0024103,■■店,ジオソリューションズ,2026-02-01,2099-12-31,多田|ただ
S007,山本,ヤマモト,AU1K0024106,◇◇店,ジオソリューションズ,2026-01-01,2099-12-31,山本|やまもと
S008,尾山椛侍人,オヤマカエデモリヒト,AU1K0024107,▲▲店,ジオソリューションズ,2026-01-15,2099-12-31,尾山|おやま
S009,小山力,コヤマツヨシ,AU1K0024108,★★店,ジオソリューションズ,2026-01-01,2099-12-31,小山|こやま
S010,明石,アカシ,AU1K0024109,◆◆店,ジオソリューションズ,2026-01-01,2099-12-31,明石|あかし
S011,池崎荒治,イケザキアラジ,AU1K0024110,☆☆店,ジオソリューションズ,2026-01-01,2099-12-31,池崎|いけざき
S012,羽曳野伊賀,ハビキノイガ,AU1K0024111,★☆店,ジオソリューションズ,2026-01-01,2099-12-31,羽曳野|はびきの
S013,田野孝史,タノタカシ,AU1K0024112,○●店,ジオソリューションズ,2026-01-01,2099-12-31,田野|たの
S014,今井心,イマイココロ,AU1K0024113,●○店,ジオソリューションズ,2026-01-01,2099-12-31,今井|いまい
S015,北口,キタグチ,AU1K0024114,◎◎店,ジオソリューションズ,2026-01-01,2099-12-31,北口|きたぐち
S016,片木優一,カタギユウイチ,AU1K0024115,△●店,ジオソリューションズ,2026-01-01,2099-12-31,片木|かたぎ
S017,森田真司,モリタシンジ,AU1K0024116,▼▼店,ジオソリューションズ,2026-01-01,2099-12-31,森田|もりた
S018,祈,イノリ,AU1K0024117,◀◀店,ジオソリューションズ,2026-01-01,2099-12-31,祈|いのり
S019,RB,アールビー,AU1K0024118,▶▶店,ジオソリューションズ,2026-01-01,2099-12-31,RB|rb
