file_name,date,store_name,staff_name,daily_report_no,tablet_no,left_totals,right_totals,needs_review,review_reason
報告書_10_加藤真理子.pdf,2026-04-29,イオンモール神戸北,加藤真理子,00526480,it-200603,30 / 16 / 7,32 / 2,False,
報告書_11_木村拓也.pdf,2026-04-20,イオンモール神戸北,木村拓也,00540740,it - 200255,32 / 13 / 8,40 / 3,False,
報告書_12_吉田修.pdf,2026-04-21,イオンモール神戸北,吉田修,00548324,9t - 200397,30 / 11 / 4,29 / 3,False,
報告書_13_松本恵.pdf,2026-04-22,イオンモール神戸北,松本恵,00564870,it - 200389,29 / 10 / 4,46 / 1,False,
報告書_14_井上和香.pdf,2026-04-23,イオンモール神戸北,井上和香,00529464,it - 200270,30 / 18 / 8,33 / 4,False,
報告書_15_佐々木健.pdf,2026-04-24,イオンモール神戸北,佐々木健,00528121,it-200498,27 / 11 / 5,22 / 1,False,
報告書_1_山田花子.pdf,2026-04-20,イオンモール神戸北,山田花子,00596553,it - 200176,29 / 9 / 3,27 / 5,False,
報告書_2_佐藤健一.pdf,2026-04-21,イオンモール神戸北,佐藤健一,00578010,it - 200919,29 / 20 / 10,49 / 5,False,
報告書_3_鈴木一郎.pdf,2026-04-22,イオンモール神戸北,鈴木一郎,00551924,it-200418,24 / 11 / 5,43 / 4,False,
報告書_4_高橋美紀.pdf,2026-04-23,イオンモール神戸北,高橋美紀,00511179,it-200602,28 / 7 / 4,48 / 1,False,
報告書_5_田中太郎.pdf,2026-04-24,イオンモール神戸北,田中太郎,00544337,it - 200546,23 / 11 / 5,39 / 3,False,
報告書_6_伊藤純子.pdf,2026-04-25,イオンモール神戸北,伊藤純子,00538899,¶t - 200732,24 / 13 / 8,24 / 1,False,
報告書_7_渡辺裕介.pdf,2026-04-26,イオンモール神戸北,渡辺裕介,00557620,it - 200421,30 / 15 / 9,40 / 2,False,
報告書_8_中村あゆみ.pdf,2026-04-27,イオンモール神戸北,中村あゆみ,00580448,it - 200548,24 / 12 / 5,37 / 4,False,
報告書_9_小林誠.pdf,2026-04-28,イオンモール神戸北,小林誠,00548632,it-200880,29 / 18 / 11,50 / 4,False,
report_no_match.pdf,2026-04-25,イオンモール神戸北,テスト太郎,99999999,fake-999999,11 / 11 / 11,11 / 11,False,
報告書_複合キー_山田花子.pdf,2026-04-20,イオンモール神戸北,山田花子,99999998,fake-99998,29 / 9 / 3,27 / 5,False,
