date,store_name,staff_name,daily_report_no,tablet_no,left_total_1,left_total_2,left_total_3,right_total_1,right_total_2
2026-04-20,イオンモール神戸北,山田花子,00596553,it - 200176,29,9,3,27,5
2026-04-20,イオンモール神戸北,山田花子,00596554,it - 200177,29,9,3,27,5
2026-04-20,イオンモール神戸北,山田花子,00596555,it - 200178,29,9,3,27,5
2026-04-21,イオンモール神戸北,佐藤健一,00578010,it - 200919,30,21,11,49,5
2026-04-22,イオンモール神戸北,鈴木一郎,00551924,it-200418,24,11,5,40,4
2026-04-23,イオンモール神戸北,高橋美紀,00511180,it-200602,28,7,4,48,1
2026-04-24,イオンモール神戸北,田中太郎,00544337,it - 200999,23,11,5,39,3
2026-04-25,イオンモール神戸北,伊藤純子,00538899,¶t - 200732,24,13,8,24,1
2026-04-26,イオンモール神戸北,渡辺裕介,00557620,it - 200421,30,15,9,40,2
2026-04-27,イオンモール神戸北,中村あゆみ,00580448,it - 200548,24,12,5,37,4
2026-04-28,イオンモール神戸北,小林誠,00548632,it-200880,29,18,11,50,4
2026-04-29,イオンモール神戸北,加藤真理子,00526480,it-200603,30,16,7,32,2
2026-04-20,イオンモール神戸北,木村拓也,00540740,it - 200255,32,13,8,40,3
2026-04-21,イオンモール神戸北,吉田修,00548324,9t - 200397,30,11,4,29,3
2026-04-22,イオンモール神戸北,松本恵,00564870,it - 200389,29,10,4,46,1
2026-04-23,イオンモール神戸北,井上和香,00529464,it - 200270,30,18,8,33,4
2026-04-24,イオンモール神戸北,佐々木健,00528121,it-200498,27,11,5,22,1
